year,China,Germany,Russia,United Kingdom,United States
1860,,36.395,0.414,167.95,47.438
1861,,41.33,0.526,175.048,45.679
1862,,45.54,0.475,169.471,47.449
1863,,49.383,0.497,180.225,54.81
1864,,56.642,0.558,193.91,58.657
1865,,63.468,0.533,205.488,58.822
1866,,62.907,1.684,211.732,59.232
1867,,69.154,1.933,217.374,72.866
1868,,74.368,1.608,213.219,82.352
1869,,77.593,2.181,223.706,93.696
1870,,76.64,2.367,228.494,98.62
1871,,85.349,3.196,242.037,103.021
1872,,92.109,3.281,254.989,126.305
1873,,98.367,3.079,264.658,139.507
1874,,71.595,3.738,257.187,134.297
1875,,101.518,4.302,271.488,135.748
1876,,103.438,5.341,271.019,132.82
1877,,101.302,5.451,275.899,147.176
1878,,104.545,7.124,270.975,143.904
1879,,110.847,7.31,272.646,175.469
1880,,124.503,8.575,297.125,198.684
1881,,134.264,9.032,312.312,210.193
1882,,143.665,9.514,314.965,235.394
1883,,153.093,10.828,327.73,253.883
1884,,157.526,10.994,319.098,267.59
1885,,161.183,11.975,315.291,272.162
1886,,163.033,12.282,312.429,287.463
1887,,170.391,12.996,320.442,307.381
1888,,186.347,13.556,333.168,373.875
1889,,198.849,14.64,345.024,335.542
1890,,208.232,16.58,353.023,401.747
1891,,220.84,18.255,360.472,427.425
1892,,214.989,19.323,353.008,450.449
1893,,220.712,22.649,316.211,454.095
1894,,229.498,23.068,362.102,425.05
1895,,238.285,26.506,365.55,479.948
1896,,256.26,26.983,375.981,480.882
1897,,273.554,31.198,385.969,500.287
1898,,285.378,34.989,386.878,545.321
1899,,303.284,40.59,414.552,625.534
1900,,326.759,45.981,419.741,662.738
1901,,325.557,47.206,410.701,721.528
1902,,319.189,45.594,426.64,764.496
1903,,343.599,44.599,429.985,894.407
1904,,356.122,49.62,431.993,882.058
1905,,382.324,44.292,437.672,986.482
1906,,361.937,50.521,453.35,1035.471
1907,19.894,442.183,56.588,473.568,1203.861
1908,22.736,446.642,56.935,461.964,1052.813
1909,24.252,445.572,60.102,466.086,1165.706
1910,25.009,445.367,58.942,469.732,1271.582
1911,24.631,458.586,61.11,481.351,1258.667
1912,17.029,499.121,69.224,455.886,1343.566
1913,24.252,535.083,75.199,498.322,1442.542
