Country,year,population,co2_per_capita,ISO3,Year,Region,GNI per capita
Albania,2021,2854710,1.718,ALB,2021,Southern Europe,14131.11039
Andorra,2021,79057,4.592,AND,2021,Southern Europe,51166.62661
Armenia,2021,2790971,2.531,ARM,2021,Eastern Europe,13157.9939
Austria,2021,8922086,7.399,AUT,2021,Western Europe,53618.67138
Azerbaijan,2021,10312992,3.717,AZE,2021,Eastern Europe,14256.74456
Belarus,2021,9578172,6.362,BLR,2021,Eastern Europe,18848.96704
Belgium,2021,11611416,8.239,BEL,2021,Western Europe,52293.39977
Bosnia and Herzegovina,2021,3270948,6.095,BIH,2021,Southern Europe,15241.91465
Bulgaria,2021,6885864,6.14,BGR,2021,Eastern Europe,23078.95595
Croatia,2021,4060139,4.288,HRV,2021,Southern Europe,30132.28814
Cyprus,2021,1244193,5.65,CYP,2021,Southern Europe,38188.42152
Denmark,2021,5854246,5.058,DNK,2021,Northern Europe,60364.78595
Estonia,2021,1328704,7.842,EST,2021,Northern Europe,38048.26372
Finland,2021,5535982,6.855,FIN,2021,Northern Europe,49452.16672
France,2021,64531448,4.754,FRA,2021,Western Europe,45937.05273
Georgia,2021,3757984,2.942,GEO,2021,Eastern Europe,14664.16825
Germany,2021,83408560,8.138,DEU,2021,Western Europe,54534.21682
Greece,2021,10445368,5.51,GRC,2021,Southern Europe,29002.48545
Hungary,2021,9709784,5.002,HUN,2021,Eastern Europe,32789.01063
Iceland,2021,370338,9.478,ISL,2021,Northern Europe,55782.04981
Ireland,2021,4986525,7.53,IRL,2021,Northern Europe,76168.98443
Italy,2021,59240336,5.693,ITA,2021,Southern Europe,42839.51441
Kazakhstan,2021,19196468,13.291,KAZ,2021,Eastern Europe,23942.81837
Latvia,2021,1873926,3.864,LVA,2021,Northern Europe,32803.23423
Liechtenstein,2021,39058,3.735,LIE,2021,Western Europe,146829.7006
Lithuania,2021,2786652,4.963,LTU,2021,Northern Europe,37931.30359
Luxembourg,2021,639330,13.185,LUX,2021,Western Europe,84649.47467
Malta,2021,526751,3.05,MLT,2021,Southern Europe,38884.45623
Monaco,2021,36713,,MCO,2021,Western Europe,
Montenegro,2021,627856,3.671,MNE,2021,Southern Europe,20838.80129
Netherlands,2021,17501696,7.994,NLD,2021,Western Europe,55979.411
North Macedonia,2021,2103329,3.656,MKD,2021,Southern Europe,15917.75283
Norway,2021,5403021,7.594,NOR,2021,Northern Europe,64660.10622
Poland,2021,38307724,8.643,POL,2021,Eastern Europe,33033.96081
Portugal,2021,10290109,3.881,PRT,2021,Southern Europe,33154.53343
Romania,2021,19328558,3.994,ROU,2021,Eastern Europe,30027.29131
San Marino,2021,33772,,SMR,2021,Southern Europe,52653.82534
Serbia,2021,7296771,6.017,SRB,2021,Southern Europe,19123.02747
Slovakia,2021,5447621,6.455,SVK,2021,Eastern Europe,30690.48552
Slovenia,2021,2119408,6.162,SVN,2021,Southern Europe,39746.01987
Spain,2021,47486932,4.849,ESP,2021,Southern Europe,38353.60164
Sweden,2021,10467095,3.681,SWE,2021,Northern Europe,54489.37401
Switzerland,2021,8691409,4.118,CHE,2021,Western Europe,66933.00454
Ukraine,2021,43531424,4.828,UKR,2021,Eastern Europe,13255.50977
United Kingdom,2021,67281040,5.164,GBR,2021,Northern Europe,45224.76564
